Tender Ref,Status,Rejection Codes,Company Name,"Tendered Unit 
(BMU/Unit ID)",TO connection  /  DNO connection,Generation Type,Start Date,End Date,"Tendered Period 
(dd.mm.yy - dd.mm.yy)",Applicable FFR Capability Data Table,Tendered Frames per Service Day - From (Mon-Fri),Tendered Frames per Service Day - To (Mon- Fri),Tendered Frames per Service Day - Duration (Mon-Fri),Tendered Frames per Service Day - From (Saturday),Tendered Frames per Service Day - To (Saturday),Tendered Frames per Service Day - Duration (Saturday),Tendered Frames per Service Day - From (Sunday/Bank Holidays),Tendered Frames per Service Day - To (Sunday/Bank Holidays),Tendered Frames per Service Day - Duration (Sunday/Bank Hol),Tendered Prices - Availability Fee (£/h),Tendered Prices - Nomination Fee (£/h),Tendered Prices -  Window Initiation Fee (£/window),BMUs  Only ,Maximum Part Load Point (MW),Minimum Part Load Point (MW),Minimum MEL (MW),Maximum SEL (MW),Primary Response (max.) @ 0.2Hz (MW),Primary Response (max.) @ 0.5Hz (MW),Primary Response (max.) @ 0.8Hz (MW),Secondary Response (max.) @ 0.2/0.2Hz (MW),Secondary Response (max.) @ 0.5/0.5Hz (MW),High Frequency Response (max.) @ 0.2Hz (MW),High Frequency Response (max.) @ 0.5Hz (MW),Are you adding volume as per detail change provision,Please state the accepted tender that you are stacking onto,Please state if this is an all or nothing bid.,Please indicate if this is a mutually exclusive tender ,Automatic Response Energy Deliverable by 10s (MW),Automatic Response Energy Deliverable by 30s (MW),Comments 
139.039,Rejected,2,Habitat Energy Limited,AG-HEL01H,DNO connection,DSF: Storage (for export),31/07/2021,31/08/2021,31.07.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,376,0,-,Yes,,,,,8,20,20,8,20,6.4,16,,,,,,,
139.04,Accepted,NA,Upside Energy ,UPEN-2,DNO connection,DSF: Storage (onsite),31/07/2021,31/08/2021,31.07.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,1100,12,2300,1100,12,2300,1100,12,10.5,,,,,,,,0.4,1,1,0.4,1,0.4,1,,,,,,,
139.041,Accepted,NA,Upside Energy ,UPEN-3,DNO connection,DSF: Storage (onsite),01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,1900,300,8,1900,300,8,1900,300,8,9.76,,,,,,,,0.4,1,1,0.4,1,0.4,1,,,,,,,
139.042,Accepted,NA,Upside Energy ,UPEN-3,DNO connection,DSF: Storage (onsite),01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,9.76,,,,,,,,0.4,1,1,0.4,1,0.4,1,,,,,,,
139.043,Rejected,2,BESS HoldCo 3 Ltd,DBESSA-33,DNO connection,Battery,31/07/2021,31/08/2021,31.07.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,162,,,,,,,,3.6,9,9,3.6,9,3.6,9,,,A,,,,
139.044,Rejected,2,BESS HoldCo 3 Ltd,DBESSC-33,DNO connection,Battery,31/07/2021,31/08/2021,31.07.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,180,,,,,,,,4,10,10,4,10,4,10,,,B,,,,
139.045,Rejected,2,BESS HoldCo 3 Ltd,DBESSF-33,DNO connection,Battery,31/07/2021,31/08/2021,31.07.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,180,,,,,,,,4,10,10,4,10,4,10,,,C,,,,
139.046,Rejected,2,BESS HoldCo 3 Ltd,DBESSH-33,DNO connection,Battery,31/07/2021,31/08/2021,31.07.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,180,,,,,,,,4,10,10,4,10,4,10,,,D,,,,
139.047,Rejected,2,BESS HoldCo 3 Ltd,DBESSE-33,DNO connection,Battery,31/07/2021,31/08/2021,31.07.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,180,,,,,,,,4,10,10,4,10,4,10,,,E,,,,
139.048,Rejected,2,BESS HoldCo 3 Ltd,DBESSG-33,DNO connection,Battery,31/07/2021,31/08/2021,31.07.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,180,,,,,,,,4,10,10,4,10,4,10,,,F,,,,
139.049,Accepted,NA,BESS HoldCo 1 Limited,DBESS-11,DNO connection,Battery,31/07/2021,31/08/2021,31.07.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,59.75,,,,,,,,2,5,5,2,5,2,5,,,G,,,,
139.05,Rejected,2,OSSPV001 LIMITED,E_ARNKB-2,DNO connection,Battery,31/07/2021,31/08/2021,31.07.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,184.32,,,YES,,,,,3.6,9,9,3.6,9,3.6,9,,,,,,,
139.051,Rejected,2,EDF Energy Customers Limited,EDFE-4,DNO connection,DSF: Storage (for export),01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,114,,,,,,,,2.4,6,6,2.4,6,2.4,6,,,,,,,
139.052,Rejected,2,EDF Energy Customers Limited,AG -GEDF01 ,DNO connection,DSF: Storage (for export),01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,382,,,,,,,,8,20,20,8,20,8,20,,,,,,,
139.053,Rejected,2,EDF Energy Customers Limited,AG -GEDF02,DNO connection,DSF: Storage (for export),01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,381,,,,,,,,8,20,20,8,20,8,20,,,,,,,
139.054,Rejected,2,EDF Energy Customers Limited,EDFE-2,DNO connection,DSF: Storage (for export),01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,145.6,,,,,,,,3.2,8,8,3.2,8,3.2,8,,,,,,,
139.055,Rejected,2,EDF Energy Customers Limited,AG-AEDF02,DNO connection,DSF: Storage (for export),01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,906.5,,,,,,,,19.6,49,49,19.6,49,15.6,39,,,,,,,
139.056,Rejected,2,EDF Energy Customers Limited,EDFE-8,DNO connection,DSF: Storage (for export),01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,380,,,,,,,,8,20,20,8,20,8,20,,,,,,,
139.057,Accepted,NA,Brook Green Innovations,BGIN-1,DNO connection,DSF: Storage (for export),31/07/2021,31/08/2021,31.07.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,700,8,2300,1100,12,2300,1100,12,9,,,,,,,,0.4,1,1,0.4,1,0,0,,,,,,,
139.058,Accepted,NA,BALANCE POWER,IPSWA-1,DNO connection,Bio Fuel,01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,80,,,,,,,,,,,,,,,,,,,,20,
139.059,Accepted,NA,EQUIVALENCE ENERGY,IPSWB-1,DNO connection,Bio Fuel,01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,70,,,,,,,,,,,,,,,,,,,,20,
139.06,Rejected,2,BALANCE POWER,IPSWA-1,DNO connection,Bio Fuel,01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,80,,,,,,,,,,,,,,,,,,,,20,
139.061,Accepted,NA,EQUIVALENCE ENERGY,IPSWB-1,DNO connection,Bio Fuel,01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,1500,2300,8,1500,2300,8,1500,2300,8,70,,,,,,,,,,,,,,,,,,,,20,
139.062,Accepted,NA,Open Energi Limited,OPEN-1,DNO connection,DSF: Load response,31/07/2021,31/08/2021,31.07.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,21.9,,,,,,,,0.8,2,2,0.8,2,0.8,2,,,A,,,,
139.063,Accepted,NA,Open Energi Limited,OPEN-1,DNO connection,DSF: Load response,01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,700,1500,8,700,1500,8,700,1500,8,21.9,,,,,,,,0.8,2,2,0.8,2,0.8,2,,,B,,,,
139.064,Accepted,NA,Open Energi Limited,OPEN-1,DNO connection,DSF: Load response,01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,1500,1900,4,,,,,,,21.9,,,,,,,,0.8,2,2,0.8,2,0.8,2,,,C,,,,
139.065,Accepted,NA,Open Energi Limited,OPEN-1,DNO connection,DSF: Load response,01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,1900,2300,4,1500,2300,8,1500,2300,8,21.9,,,,,,,,0.8,2,2,0.8,2,0.8,2,,,C,,,,
139.069,Rejected,2,Flexitricity Limited,AG-EFLX01,DNO connection,DSF: Storage (for export),31/07/2021,31/08/2021,31.07.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,376.01,,,Yes,,,,,7.6,19,19,7.6,19,7.6,19,,,,,,,
139.07,Rejected,2,Flexitricity Limited,AG-BFLX01,DNO connection,DSF: Storage (for export),31/07/2021,31/08/2021,31.07.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,139.79,,,Yes,,,,,2.8,7,7,2.8,7,2.8,7,,,,,,,
139.071,Rejected,2,Flexitricity Limited,AG-MFLX02,DNO connection,DSF: Storage (for export),31/07/2021,31/08/2021,31.07.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,947.66,,,Yes,,,,,19.96,49,49,19.96,49,19.96,49,,,,,,,
139.072,Rejected,2,Flexitricity Limited,AG-FLX00L,DNO connection,DSF: Storage (for export),31/07/2021,31/08/2021,31.07.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,80.08,,,Yes,,,,,1.6,4,4,1.6,4,1.6,4,,,,,,,
139.073,Rejected,2,Flexitricity Limited,AG-BFLX02,DNO connection,DSF: Storage (for export),31/07/2021,31/08/2021,31.07.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,2300,24,2300,2300,24,2300,2300,24,198.8,,,Yes,,,,,4,10,10,4,10,4,10,,,,,,,
139.074,Accepted,NA,Social Energy Limited,SOC1-FFR,DNO connection,DSF: Storage (onsite),31/07/2021,31/08/2021,31.07.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,10.49,,,,,,,,0.4,1,1,0.4,1,0.4,1,,,,,,,H for only 30min
139.075,Accepted,NA,Social Energy Limited,SOC1-FFR,DNO connection,DSF: Storage (onsite),01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,700,1100,4,700,1100,4,700,1100,4,11.99,,,,,,,,0.4,1,1,0.4,1,0.4,1,,,,,,,H for only 30min
139.076,Accepted,NA,Social Energy Limited,SOC2-FFR,DNO connection,DSF: Storage (onsite),31/07/2021,31/08/2021,31.07.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,10.63,,,,,,,,0.4,1,1,0.4,1,0.4,1,,,,,,,H for only 30min
139.077,Accepted,NA,Social Energy Limited,SOC2-FFR,DNO connection,DSF: Storage (onsite),01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,700,1100,4,700,1100,4,700,1100,4,11.78,,,,,,,,0.4,1,1,0.4,1,0.4,1,,,,,,,H for only 30min
139.078,Accepted,NA,Social Energy Limited,SOC3-FFR,DNO connection,DSF: Storage (onsite),31/07/2021,31/08/2021,31.07.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,10.77,,,,,,,,0.4,1,1,0.4,1,0.4,1,,,,,,,H for only 30min
139.079,Accepted,NA,Social Energy Limited,SOC3-FFR,DNO connection,DSF: Storage (onsite),01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,700,1100,4,700,1100,4,700,1100,4,11.62,,,,,,,,0.4,1,1,0.4,1,0.4,1,,,,,,,H for only 30min
139.08,Accepted,NA,Social Energy Limited,SOC4-FFR,DNO connection,DSF: Storage (onsite),31/07/2021,31/08/2021,31.07.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,10.92,,,,,,,,0.4,1,1,0.4,1,0.4,1,,,,,,,H for only 30min
139.081,Accepted,NA,Social Energy Limited,SOC4-FFR,DNO connection,DSF: Storage (onsite),01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,700,1100,4,700,1100,4,700,1100,4,11.47,,,,,,,,0.4,1,1,0.4,1,0.4,1,,,,,,,H for only 30min
139.082,Accepted,NA,Social Energy Limited,SOC5-FFR,DNO connection,DSF: Storage (onsite),31/07/2021,31/08/2021,31.07.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,11.08,,,,,,,,0.4,1,1,0.4,1,0.4,1,,,,,,,H for only 30min
139.083,Accepted,NA,Social Energy Limited,SOC5-FFR,DNO connection,DSF: Storage (onsite),01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,700,1100,4,700,1100,4,700,1100,4,11.29,,,,,,,,0.4,1,1,0.4,1,0.4,1,,,,,,,H for only 30min
139.084,Accepted,NA,Social Energy Limited,SOC6-FFR,DNO connection,DSF: Storage (onsite),31/07/2021,31/08/2021,31.07.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,11.21,,,,,,,,0.4,1,1,0.4,1,0.4,1,,,,,,,H for only 30min
139.085,Accepted,NA,Social Energy Limited,SOC6-FFR,DNO connection,DSF: Storage (onsite),01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,700,1100,4,700,1100,4,700,1100,4,11.15,,,,,,,,0.4,1,1,0.4,1,0.4,1,,,,,,,H for only 30min
139.086,Accepted,NA,Social Energy Limited,SOC7-FFR,DNO connection,DSF: Storage (onsite),31/07/2021,31/08/2021,31.07.21 - 31.08.21 (1 months),As per FFR framework agreement ,2300,700,8,2300,700,8,2300,700,8,11.39,,,,,,,,0.4,1,1,0.4,1,0.4,1,,,,,,,H for only 30min
139.087,Accepted,NA,Social Energy Limited,SOC7-FFR,DNO connection,DSF: Storage (onsite),01/08/2021,31/08/2021,01.08.21 - 31.08.21 (1 months),As per FFR framework agreement ,700,1100,4,700,1100,4,700,1100,4,10.97,,,,,,,,0.4,1,1,0.4,1,0.4,1,,,,,,,H for only 30min
